"","Orthogroup","Esox.x","Okisu.x","Oketa.x","Omykiss.x","Onerka.x","Otsch.x","Salar.x","Ogorb.x","Total","Esox.y","Okisu.y","Oketa.y","Omykiss.y","Onerka.y","Otsch.y","Salar.y","Ogorb.y"
"1","OG0000005",30,32,6,39,9,17,40,17,190,"XP_010902691.2, XP_010902944.3, XP_012989558.3, XP_012993681.2, XP_019905118.2, XP_028969784.2, XP_028969789.2, XP_028972048.1, XP_028972049.2, XP_028974578.1, XP_028975796.2, XP_028976020.2, XP_028977817.1, XP_028977820.2, XP_028977821.2, XP_028977822.1, XP_028979447.2, XP_028981276.2, XP_028981283.1, XP_034144256.1, XP_034145224.1, XP_034147175.1, XP_034147176.1, XP_034147182.1, XP_034147417.1, XP_034148438.1, XP_034150406.1, XP_034150408.1, XP_034151327.1, XP_034152538.1","XP_020342587.1, XP_031658956.1, XP_031661088.1, XP_031662226.1, XP_031662735.1, XP_031665722.1, XP_031665725.1, XP_031666930.1, XP_031667194.1, XP_031667196.1, XP_031667200.1, XP_031667201.1, XP_031667204.1, XP_031667432.1, XP_031667433.1, XP_031667443.1, XP_031667444.1, XP_031667445.1, XP_031672792.1, XP_031673307.1, XP_031673770.1, XP_031673771.1, XP_031674056.1, XP_031674291.1, XP_031675487.1, XP_031677029.1, XP_031677033.1, XP_031677034.1, XP_031680545.1, XP_031685477.1, XP_031692713.1, XP_031692715.1","XP_035590336.1, XP_035592453.1, XP_035631544.1, XP_035634085.1, XP_035634087.1, XP_035655071.1","XP_021424536.2, XP_021424537.2, XP_021445769.1, XP_021457634.2, XP_021469784.2, XP_021469785.2, XP_021477888.2, XP_036795957.1, XP_036795958.1, XP_036795959.1, XP_036801778.1, XP_036804702.1, XP_036804703.1, XP_036804705.1, XP_036804706.1, XP_036804707.1, XP_036804708.1, XP_036804711.1, XP_036804713.1, XP_036804715.1, XP_036804716.1, XP_036811585.1, XP_036815775.1, XP_036815779.1, XP_036815780.1, XP_036822270.1, XP_036823005.1, XP_036828888.1, XP_036828890.1, XP_036828896.1, XP_036828897.1, XP_036828898.1, XP_036830465.1, XP_036835190.1, XP_036844455.1, XP_036844459.1, XP_036844469.1, XP_036844475.1, XP_036844495.1","XP_029484715.1, XP_029492947.1, XP_029499144.1, XP_029504927.1, XP_029505622.1, XP_029505922.1, XP_029538798.1, XP_029538799.1, XP_029540783.1","XP_024230249.1, XP_024230278.1, XP_024237579.1, XP_024243644.1, XP_024261936.2, XP_024269747.2, XP_024270770.2, XP_042163899.1, XP_042164177.1, XP_042164178.1, XP_042168883.1, XP_042169081.1, XP_042169775.1, XP_042174800.1, XP_042174801.1, XP_042185083.1, XP_042185084.1","XP_013985662.1, XP_013985688.1, XP_013985712.1, XP_013985734.1, XP_013985803.1, XP_013985804.1, XP_013987861.1, XP_013987863.1, XP_013996160.1, XP_013996920.1, XP_013998903.1, XP_014010865.1, XP_014028421.1, XP_014035023.1, XP_014037783.1, XP_014039445.1, XP_014039865.1, XP_014039893.1, XP_014039909.1, XP_014039969.1, XP_014039973.1, XP_014039974.1, XP_014039976.1, XP_014039990.1, XP_014040012.1, XP_014040193.1, XP_014040197.1, XP_014040238.1, XP_014040481.1, XP_014042652.1, XP_014043004.1, XP_014043333.1, XP_014043627.1, XP_014043630.1, XP_014044125.1, XP_014044290.1, XP_014044374.1, XP_014047909.1, XP_014057818.1, XP_014058233.1","XP_046167248.1, XP_046178543.1, XP_046178544.1, XP_046186961.1, XP_046186962.1, XP_046186964.1, XP_046190855.1, XP_046191331.1, XP_046191332.1, XP_046191333.1, XP_046193485.1, XP_046193486.1, XP_046195140.1, XP_046204121.1, XP_046212934.1, XP_046216515.1, XP_046224328.1"
"2","OG0000007",16,20,12,25,15,21,27,19,155,"NP_001291079.1, XP_010866181.2, XP_010876510.1, XP_010884399.1, XP_010891518.1, XP_010902484.3, XP_010902487.1, XP_012991934.1, XP_012995253.3, XP_012995273.2, XP_028969612.1, XP_028971728.2, XP_028972418.1, XP_028979848.1, XP_034151664.1, XP_034151665.1","XP_020312759.1, XP_020314431.1, XP_020314472.1, XP_020326106.1, XP_020327938.2, XP_020327939.2, XP_020330165.2, XP_020330166.2, XP_020343790.1, XP_020343817.2, XP_031650420.1, XP_031650424.1, XP_031657541.1, XP_031657549.1, XP_031662081.1, XP_031669208.1, XP_031681179.1, XP_031681180.1, XP_031681940.1, XP_031681945.1","XP_035594997.1, XP_035595000.1, XP_035595948.1, XP_035628441.1, XP_035628442.1, XP_035633912.1, XP_035633913.1, XP_035633915.1, XP_035638985.1, XP_035638994.1, XP_035645657.1, XP_035653075.1","NP_001118163.1, XP_021421657.1, XP_021421659.1, XP_021424713.1, XP_021424714.1, XP_021424715.1, XP_021429928.1, XP_021435513.2, XP_021435514.1, XP_021446286.1, XP_021448283.1, XP_021449109.1, XP_021465775.1, XP_021465776.2, XP_021472389.1, XP_021472390.1, XP_021478260.2, XP_036792712.1, XP_036807242.1, XP_036807605.1, XP_036807607.1, XP_036815349.1, XP_036838112.1, XP_036838279.1, XP_036839716.1","XP_029476082.1, XP_029476084.1, XP_029478410.1, XP_029478412.1, XP_029484486.1, XP_029484494.1, XP_029510663.1, XP_029520107.1, XP_029521011.1, XP_029523601.1, XP_029535494.1, XP_029535506.1, XP_029538956.1, XP_029538957.1, XP_029538959.1","XP_024231932.2, XP_024232000.1, XP_024235574.1, XP_024239822.2, XP_024245583.2, XP_024252967.1, XP_024263402.1, XP_024283261.1, XP_024286593.2, XP_042153971.1, XP_042155548.1, XP_042159646.1, XP_042162723.1, XP_042162726.1, XP_042167494.1, XP_042168748.1, XP_042174105.1, XP_042175971.1, XP_042175972.1, XP_042180498.1, XP_042182379.1","NP_001133158.1, NP_001134939.1, NP_001167032.1, XP_013980831.1, XP_013983641.1, XP_013983643.1, XP_013988054.1, XP_013988055.1, XP_013991449.1, XP_013991450.1, XP_013994396.1, XP_013994405.1, XP_014002408.1, XP_014002409.1, XP_014002411.1, XP_014004723.1, XP_014007568.1, XP_014007938.1, XP_014008035.1, XP_014021149.1, XP_014021151.1, XP_014021177.1, XP_014021178.1, XP_014022723.1, XP_014022724.1, XP_014030144.1, XP_014044670.1","XP_046161134.1, XP_046161170.1, XP_046167058.1, XP_046167059.1, XP_046167320.1, XP_046173927.1, XP_046190886.1, XP_046190925.1, XP_046191047.1, XP_046198114.1, XP_046198115.1, XP_046200422.1, XP_046200423.1, XP_046200912.1, XP_046201015.1, XP_046204342.1, XP_046219906.1, XP_046221949.1, XP_046221952.1"
"3","OG0000009",11,21,14,21,19,19,21,20,146,"XP_010874499.2, XP_010882683.1, XP_010883540.1, XP_010888005.4, XP_010891423.1, XP_010899225.1, XP_010899748.1, XP_010901761.2, XP_012991341.3, XP_019912172.1, XP_028979110.1","XP_020308187.1, XP_020313435.1, XP_020319153.1, XP_020321948.1, XP_020325612.1, XP_020338283.1, XP_020344594.1, XP_020345294.1, XP_020351006.1, XP_020353483.1, XP_020356030.2, XP_020357876.1, XP_020360062.1, XP_020361149.2, XP_020363013.2, XP_031668145.1, XP_031683854.1, XP_031683855.1, XP_031690717.1, XP_031690718.1, XP_031691813.1","XP_035591597.1, XP_035600129.1, XP_035600671.1, XP_035602095.1, XP_035610848.1, XP_035616698.1, XP_035619253.1, XP_035627372.1, XP_035631418.1, XP_035644181.1, XP_035649192.1, XP_035650432.1, XP_035651165.1, XP_035655695.1","XP_021412565.1, XP_021414180.1, XP_021414181.1, XP_021416265.1, XP_021416727.1, XP_021418756.1, XP_021427183.1, XP_021427662.1, XP_021436538.1, XP_021439470.1, XP_021442002.1, XP_021444972.1, XP_021457431.1, XP_021461293.1, XP_021463140.1, XP_021464614.1, XP_021469157.1, XP_021476326.2, XP_021476876.1, XP_021481302.1, XP_021481303.1","XP_029479379.1, XP_029481617.1, XP_029481618.1, XP_029482627.1, XP_029485919.1, XP_029493362.1, XP_029496157.1, XP_029498673.1, XP_029503512.1, XP_029504921.1, XP_029514035.1, XP_029515499.1, XP_029516045.1, XP_029517433.1, XP_029517766.1, XP_029519332.1, XP_029524114.1, XP_029533570.1, XP_029535315.1","XP_024230559.1, XP_024237385.1, XP_024241360.1, XP_024243410.1, XP_024247212.1, XP_024248908.1, XP_024251666.2, XP_024272987.1, XP_024275154.2, XP_024281791.1, XP_024281963.1, XP_024284941.1, XP_024285579.1, XP_024289573.2, XP_024289574.2, XP_024291564.1, XP_024294856.1, XP_024296086.1, XP_024297419.2","NP_001133265.1, NP_001167344.1, XP_013982514.1, XP_013998013.1, XP_014005633.1, XP_014006760.1, XP_014016007.1, XP_014027109.1, XP_014030161.1, XP_014032830.1, XP_014036108.1, XP_014040517.1, XP_014044382.1, XP_014046487.1, XP_014049428.1, XP_014049429.1, XP_014049474.1, XP_014055251.1, XP_014056487.1, XP_014067627.1, XP_014070410.1","XP_046146385.1, XP_046148287.1, XP_046151296.1, XP_046158495.1, XP_046162130.1, XP_046175326.1, XP_046178586.1, XP_046179713.1, XP_046180881.1, XP_046181487.1, XP_046187605.1, XP_046188067.1, XP_046201838.1, XP_046203627.1, XP_046205214.1, XP_046206286.1, XP_046210150.1, XP_046212229.1, XP_046215735.1, XP_046218188.1"
"4","OG0000016",8,14,9,13,15,13,14,13,99,"XP_010878695.2, XP_012993253.2, XP_019899741.2, XP_019899801.2, XP_019899806.2, XP_028975541.2, XP_034147291.1, XP_034147899.1","XP_020308134.2, XP_020317343.1, XP_020317344.1, XP_020346889.2, XP_020359502.1, XP_031647650.1, XP_031647651.1, XP_031654178.1, XP_031655633.1, XP_031658064.1, XP_031662795.1, XP_031663011.1, XP_031666417.1, XP_031687946.1","XP_035604213.1, XP_035605115.1, XP_035628882.1, XP_035629530.1, XP_035639843.1, XP_035640674.1, XP_035646093.1, XP_035647300.1, XP_035655120.1","XP_021418860.1, XP_021435547.2, XP_021435548.2, XP_021442872.2, XP_036813654.1, XP_036813660.1, XP_036822276.1, XP_036822563.1, XP_036830920.1, XP_036830922.1, XP_036841450.1, XP_036843196.1, XP_036843197.1","XP_029480099.1, XP_029480100.1, XP_029485706.1, XP_029486502.1, XP_029495515.1, XP_029497958.1, XP_029502439.1, XP_029502513.1, XP_029505654.1, XP_029511518.1, XP_029511629.1, XP_029522216.1, XP_029522218.1, XP_029529193.1, XP_029532072.1","XP_024245144.1, XP_024265375.1, XP_024290943.2, XP_042150859.1, XP_042154136.1, XP_042154140.1, XP_042155940.1, XP_042162262.1, XP_042163907.1, XP_042164144.1, XP_042175761.1, XP_042184068.1, XP_042185260.1","XP_013994756.1, XP_013994920.1, XP_014011769.1, XP_014011772.1, XP_014015426.1, XP_014020371.1, XP_014029658.1, XP_014029663.1, XP_014044765.1, XP_014044776.1, XP_014062616.1, XP_014062618.1, XP_014068877.1, XP_014068891.1","XP_046150988.1, XP_046153785.1, XP_046176336.1, XP_046176415.1, XP_046177342.1, XP_046183998.1, XP_046185690.1, XP_046216439.1, XP_046216442.1, XP_046219587.1, XP_046219590.1, XP_046220378.1, XP_046220390.1"
"5","OG0000019",9,16,4,17,8,9,14,11,88,"XP_010890546.1, XP_010900341.3, XP_012991726.3, XP_019896696.1, XP_028976646.1, XP_028979260.1, XP_028980157.2, XP_028980158.2, XP_034150833.1","XP_020319745.1, XP_020341311.2, XP_020341318.1, XP_020342077.1, XP_020353352.1, XP_020358882.1, XP_020363712.1, XP_031689858.1, XP_031689860.1, XP_031689861.1, XP_031689862.1, XP_031689863.1, XP_031689864.1, XP_031689865.1, XP_031689867.1, XP_031689868.1","XP_035593919.1, XP_035603232.1, XP_035635880.1, XP_035648132.1","NP_001117700.1, NP_001117704.1, NP_001118217.1, XP_021422818.2, XP_021438340.1, XP_021473460.1, XP_021479501.1, XP_021480498.2, XP_036796839.1, XP_036796840.1, XP_036796842.1, XP_036796843.1, XP_036796844.1, XP_036796845.1, XP_036796846.1, XP_036796847.1, XP_036820610.1","XP_029477234.1, XP_029483197.1, XP_029483201.1, XP_029491634.1, XP_029527219.1, XP_029528266.1, XP_029535096.1, XP_029537014.1","XP_024249522.1, XP_024271380.1, XP_024287173.1, XP_024287800.1, XP_024287807.1, XP_024288929.2, XP_024298732.1, XP_042153383.1, XP_042163388.1","NP_001133079.1, NP_001135156.1, XP_013989835.1, XP_013992647.1, XP_014002888.1, XP_014018258.1, XP_014042983.1, XP_014046746.1, XP_014047797.1, XP_014048341.1, XP_014053073.1, XP_014059458.1, XP_014059568.1, XP_014070315.1","XP_046150087.1, XP_046158778.1, XP_046159897.1, XP_046161900.1, XP_046161919.1, XP_046171050.1, XP_046181777.1, XP_046187351.1, XP_046187352.1, XP_046187353.1, XP_046220751.1"
"6","OG0000025",6,12,6,11,9,11,13,11,79,"XP_010899330.1, XP_010901435.3, XP_028978385.1, XP_034150007.1, XP_034150227.1, XP_034150897.1","XP_020309865.1, XP_020335200.1, XP_031654725.1, XP_031655791.1, XP_031669777.1, XP_031677653.1, XP_031683480.1, XP_031683556.1, XP_031687112.1, XP_031687767.1, XP_031690240.1, XP_031690393.1","XP_035602254.1, XP_035602438.1, XP_035603663.1, XP_035626402.1, XP_035627180.1, XP_035635119.1","XP_021412553.1, XP_021413834.1, XP_021480986.1, XP_036794400.1, XP_036796339.1, XP_036796362.1, XP_036797051.1, XP_036797959.1, XP_036805288.1, XP_036805361.1, XP_036805364.1","XP_029480441.1, XP_029481504.1, XP_029492010.1, XP_029492246.1, XP_029507688.1, XP_029537661.1, XP_029537746.1, XP_029537763.1, XP_029537771.1","XP_024289029.2, XP_024296029.1, XP_024296307.1, XP_042158185.1, XP_042159437.1, XP_042166549.1, XP_042166863.1, XP_042166892.1, XP_042173119.1, XP_042183521.1, XP_042183524.1","XP_013986239.1, XP_013986393.1, XP_013986400.1, XP_014029350.1, XP_014030282.1, XP_014034226.1, XP_014040864.1, XP_014048602.1, XP_014048678.1, XP_014048942.1, XP_014049901.1, XP_014057945.1, XP_014059053.1","XP_046160533.1, XP_046162547.1, XP_046166021.1, XP_046166156.1, XP_046167749.1, XP_046185906.1, XP_046186112.1, XP_046186174.1, XP_046186236.1, XP_046187455.1, XP_046191572.1"
"7","OG0000028",10,11,5,12,5,11,12,9,75,"XP_010883994.1, XP_010886547.2, XP_010892776.1, XP_010899757.1, XP_012987216.1, XP_012995326.3, XP_019910600.1, XP_028971697.1, XP_028972313.2, XP_028972467.2","XP_031642436.1, XP_031644422.1, XP_031647498.1, XP_031648613.1, XP_031648615.1, XP_031649489.1, XP_031663176.1, XP_031666356.1, XP_031670695.1, XP_031673973.1, XP_031679955.1","XP_035601172.1, XP_035607062.1, XP_035644541.1, XP_035649195.1, XP_035651159.1","NP_001117930.1, NP_001117931.1, NP_001117933.1, XP_021426673.2, XP_021427657.1, XP_036807895.1, XP_036810062.1, XP_036822042.1, XP_036826767.1, XP_036829693.1, XP_036837743.1, XP_036846415.1","XP_029479017.1, XP_029504112.1, XP_029519336.1, XP_029520212.1, XP_029520223.1","XP_024246738.2, XP_024281349.1, XP_024299509.1, XP_042151543.1, XP_042152690.1, XP_042160426.1, XP_042165936.1, XP_042168786.1, XP_042172801.1, XP_042179763.1, XP_042184989.1","XP_013996551.1, XP_013997246.1, XP_014006213.1, XP_014006214.1, XP_014007630.1, XP_014007633.1, XP_014022846.1, XP_014032836.1, XP_014047344.1, XP_014050103.1, XP_014055887.1, XP_014065332.1","XP_046157902.1, XP_046170661.1, XP_046174386.1, XP_046176932.1, XP_046178853.1, XP_046178855.1, XP_046181329.1, XP_046215395.1, XP_046218203.1"
"8","OG0000035",6,12,1,9,9,5,17,8,67,"XP_010864702.2, XP_010904305.4, XP_019897606.2, XP_028973415.1, XP_028973416.1, XP_028975446.1","XP_020326928.2, XP_020328086.2, XP_020328091.2, XP_020347146.1, XP_031647546.1, XP_031647576.1, XP_031647580.1, XP_031647582.1, XP_031647583.1, XP_031647586.1, XP_031647589.1, XP_031647592.1","XP_035639375.1","XP_021433792.2, XP_021447448.2, XP_021470234.2, XP_021470235.2, XP_021470238.2, XP_021470245.2, XP_036843098.1, XP_036843100.1, XP_036845135.1","XP_029501878.1, XP_029501879.1, XP_029501883.1, XP_029501884.1, XP_029501885.1, XP_029507169.1, XP_029509283.1, XP_029509284.1, XP_029522828.1","XP_024229459.1, XP_042185317.1, XP_042185328.1, XP_042185338.1, XP_042185340.1","XP_013978770.1, XP_013978905.1, XP_013978923.1, XP_013978933.1, XP_014012188.1, XP_014012191.1, XP_014012200.1, XP_014012202.1, XP_014012207.1, XP_014012209.1, XP_014012211.1, XP_014012212.1, XP_014012214.1, XP_014012215.1, XP_014012216.1, XP_014012218.1, XP_014062179.1","XP_046174756.1, XP_046175368.1, XP_046176404.1, XP_046185529.1, XP_046188600.1, XP_046188660.1, XP_046188661.1, XP_046188663.1"
"9","OG0000047",5,8,6,8,8,8,7,8,58,"NP_001290623.1, XP_010863785.1, XP_010891371.1, XP_010894111.1, XP_034151744.1","XP_020314320.1, XP_020314481.1, XP_020338506.1, XP_020339386.1, XP_020341187.1, XP_020361672.1, XP_031650106.1, XP_031650744.1","XP_035594232.1, XP_035594324.1, XP_035596508.1, XP_035597039.1, XP_035634312.1, XP_035652148.1","XP_021422115.1, XP_021422202.1, XP_021464942.1, XP_021466135.1, XP_021467044.1, XP_021471376.1, XP_021471819.1, XP_036803794.1","XP_029477692.1, XP_029477794.1, XP_029512838.1, XP_029519977.1, XP_029520462.1, XP_029527126.1, XP_029538580.1, XP_029538745.1","XP_024240377.1, XP_024240479.1, XP_024255483.1, XP_024268520.1, XP_024282320.1, XP_024283628.1, XP_042155247.1, XP_042155787.1","XP_013987402.1, XP_013990664.1, XP_013990765.1, XP_014001785.1, XP_014021584.1, XP_014023137.1, XP_014038774.1","XP_046167072.1, XP_046196424.1, XP_046198973.1, XP_046199396.1, XP_046199843.1, XP_046200754.1, XP_046221294.1, XP_046221381.1"
"10","OG0000049",7,4,0,13,2,20,9,3,58,"XP_034150840.1, XP_034151172.1, XP_034151173.1, XP_034151436.1, XP_034151437.1, XP_034151438.1, XP_034151562.1","XP_031675593.1, XP_031676197.1, XP_031676414.1, XP_031676820.1","","XP_021415079.2, XP_036795158.1, XP_036795528.1, XP_036795532.1, XP_036795533.1, XP_036795534.1, XP_036795535.1, XP_036795679.1, XP_036798412.1, XP_036798413.1, XP_036798420.1, XP_036798422.1, XP_036798423.1","XP_029501110.1, XP_029507455.1","XP_042168108.1, XP_042168117.1, XP_042168152.1, XP_042168164.1, XP_042168268.1, XP_042168337.1, XP_042168450.1, XP_042169000.1, XP_042169399.1, XP_042169601.1, XP_042169727.1, XP_042169729.1, XP_042169886.1, XP_042170050.1, XP_042170299.1, XP_042170361.1, XP_042170362.1, XP_042171256.1, XP_042172336.1, XP_042179639.1","XP_013998003.1, XP_014023758.1, XP_014023759.1, XP_014037415.1, XP_014037949.1, XP_014039165.1, XP_014042627.1, XP_014058003.1, XP_014070623.1","XP_046190125.1, XP_046196153.1, XP_046197754.1"
